,DATE,PAYEMS
942,2015-12-30,143083
943,2015-12-31,143083
944,2016-01-01,143198
945,2016-01-02,143198
946,2016-01-03,143198
947,2016-01-04,143198
948,2016-01-05,143198
949,2016-01-06,143198
950,2016-01-07,143198
951,2016-01-08,143198
952,2016-01-09,143198
953,2016-01-10,143198
954,2016-01-11,143198
955,2016-01-12,143198
956,2016-01-13,143198
957,2016-01-14,143198
958,2016-01-15,143198
959,2016-01-16,143198
960,2016-01-17,143198
961,2016-01-18,143198
962,2016-01-19,143198
963,2016-01-20,143198
964,2016-01-21,143198
965,2016-01-22,143198
966,2016-01-23,143198
967,2016-01-24,143198
968,2016-01-25,143198
969,2016-01-26,143198
970,2016-01-27,143198
971,2016-01-28,143198
972,2016-01-29,143198
973,2016-01-30,143198
974,2016-01-31,143198
975,2016-02-01,143410
976,2016-02-02,143410
977,2016-02-03,143410
978,2016-02-04,143410
979,2016-02-05,143410
980,2016-02-06,143410
981,2016-02-07,143410
982,2016-02-08,143410
983,2016-02-09,143410
984,2016-02-10,143410
985,2016-02-11,143410
986,2016-02-12,143410
987,2016-02-13,143410
988,2016-02-14,143410
989,2016-02-15,143410
990,2016-02-16,143410
991,2016-02-17,143410
992,2016-02-18,143410
993,2016-02-19,143410
994,2016-02-20,143410
995,2016-02-21,143410
996,2016-02-22,143410
997,2016-02-23,143410
998,2016-02-24,143410
999,2016-02-25,143410
1000,2016-02-26,143410
1001,2016-02-27,143410
1002,2016-02-28,143410
1003,2016-02-29,143410
1004,2016-03-01,143666
1005,2016-03-02,143666
1006,2016-03-03,143666
1007,2016-03-04,143666
1008,2016-03-05,143666
1009,2016-03-06,143666
1010,2016-03-07,143666
1011,2016-03-08,143666
1012,2016-03-09,143666
1013,2016-03-10,143666
1014,2016-03-11,143666
1015,2016-03-12,143666
1016,2016-03-13,143666
1017,2016-03-14,143666
1018,2016-03-15,143666
1019,2016-03-16,143666
1020,2016-03-17,143666
1021,2016-03-18,143666
1022,2016-03-19,143666
1023,2016-03-20,143666
1024,2016-03-21,143666
1025,2016-03-22,143666
1026,2016-03-23,143666
1027,2016-03-24,143666
1028,2016-03-25,143666
1029,2016-03-26,143666
1030,2016-03-27,143666
1031,2016-03-28,143666
1032,2016-03-29,143666
1033,2016-03-30,143666
1034,2016-03-31,143666
1035,2016-04-01,143856
1036,2016-04-02,143856
1037,2016-04-03,143856
1038,2016-04-04,143856
1039,2016-04-05,143856
1040,2016-04-06,143856
1041,2016-04-07,143856
1042,2016-04-08,143856
1043,2016-04-09,143856
1044,2016-04-10,143856
1045,2016-04-11,143856
1046,2016-04-12,143856
1047,2016-04-13,143856
1048,2016-04-14,143856
1049,2016-04-15,143856
1050,2016-04-16,143856
1051,2016-04-17,143856
1052,2016-04-18,143856
1053,2016-04-19,143856
1054,2016-04-20,143856
1055,2016-04-21,143856
1056,2016-04-22,143856
1057,2016-04-23,143856
1058,2016-04-24,143856
1059,2016-04-25,143856
1060,2016-04-26,143856
1061,2016-04-27,143856
1062,2016-04-28,143856
1063,2016-04-29,143856
1064,2016-04-30,143856
1065,2016-05-01,143901
1066,2016-05-02,143901
1067,2016-05-03,143901
1068,2016-05-04,143901
1069,2016-05-05,143901
1070,2016-05-06,143901
1071,2016-05-07,143901
1072,2016-05-08,143901
1073,2016-05-09,143901
1074,2016-05-10,143901
1075,2016-05-11,143901
1076,2016-05-12,143901
1077,2016-05-13,143901
1078,2016-05-14,143901
1079,2016-05-15,143901
1080,2016-05-16,143901
1081,2016-05-17,143901
1082,2016-05-18,143901
1083,2016-05-19,143901
1084,2016-05-20,143901
1085,2016-05-21,143901
1086,2016-05-22,143901
1087,2016-05-23,143901
1088,2016-05-24,143901
1089,2016-05-25,143901
1090,2016-05-26,143901
1091,2016-05-27,143901
1092,2016-05-28,143901
1093,2016-05-29,143901
1094,2016-05-30,143901
1095,2016-05-31,143901
1096,2016-06-01,144152
1097,2016-06-02,144152
1098,2016-06-03,144152
1099,2016-06-04,144152
1100,2016-06-05,144152
1101,2016-06-06,144152
1102,2016-06-07,144152
1103,2016-06-08,144152
1104,2016-06-09,144152
1105,2016-06-10,144152
1106,2016-06-11,144152
1107,2016-06-12,144152
1108,2016-06-13,144152
1109,2016-06-14,144152
1110,2016-06-15,144152
1111,2016-06-16,144152
1112,2016-06-17,144152
1113,2016-06-18,144152
1114,2016-06-19,144152
1115,2016-06-20,144152
1116,2016-06-21,144152
1117,2016-06-22,144152
1118,2016-06-23,144152
1119,2016-06-24,144152
1120,2016-06-25,144152
1121,2016-06-26,144152
1122,2016-06-27,144152
1123,2016-06-28,144152
1124,2016-06-29,144152
1125,2016-06-30,144152
1126,2016-07-01,144515
1127,2016-07-02,144515
