DATE,XLB_CLOSE,XLB_HIGH,XLB_LOW,XLB_OPEN,XLB_VOLUME
2016-04-25T00:00:00.000Z,40.7984379407,40.893822174,40.4862713592,40.893822174,4601892
2016-04-26T00:00:00.000Z,41.1279471101,41.1799748736,40.7984379407,40.8331231164,5038027
2016-04-27T00:00:00.000Z,41.4747988673,41.5181553369,41.0470439377,41.2320026372,5705387
2016-04-28T00:00:00.000Z,41.0845906404,41.5441692187,40.9111647618,41.1626322858,5664100
2016-04-29T00:00:00.000Z,40.8417944104,41.2233313433,40.5643130046,40.9458499375,6371915
2016-05-02T00:00:00.000Z,40.9892064072,41.0153070019,40.5903268864,41.006548995,6204001
2016-05-03T00:00:00.000Z,40.3128454806,40.6336833561,40.139419602,40.6076694743,9322214
2016-05-04T00:00:00.000Z,39.9052946659,40.2087899535,39.645155848,39.9573224295,8070138
2016-05-05T00:00:00.000Z,39.7058549055,40.2174612474,39.6364845541,40.1567621899,6970993
2016-05-06T00:00:00.000Z,40.026692781,40.0613779567,39.4890725573,39.6191419662,6776965
2016-05-09T00:00:00.000Z,39.5411003209,39.7829427086,39.4890725573,39.7231974934,6564185
2016-05-10T00:00:00.000Z,40.2001186596,40.2348038353,39.6624984359,39.7405400813,6788160
2016-05-11T00:00:00.000Z,40.0613779567,40.4082297139,40.0353640749,40.269489011,5682506
2016-05-12T00:00:00.000Z,40.2348038353,40.9198360557,40.0960631324,40.7897666468,9937625
2016-05-13T00:00:00.000Z,39.8445956084,40.4255723017,39.6971836116,40.2174612474,5623949
2016-05-16T00:00:00.000Z,40.5296278289,40.5729842985,39.9139659599,39.9313085477,5837143
2016-05-17T00:00:00.000Z,40.3215167746,40.7290675893,40.2348038353,40.3301880685,6422449
2016-05-18T00:00:00.000Z,39.7058549055,40.390887126,39.523757733,40.0960631324,9594756
2016-05-19T00:00:00.000Z,39.8445956084,39.896623372,39.383716336,39.6278132602,6264884
2016-05-20T00:00:00.000Z,40.1307483081,40.2955028928,39.9833363113,40.0093501931,4912622
2016-05-23T00:00:00.000Z,40.5989981803,40.7810953529,40.3041741867,40.3215167746,4284726
2016-05-24T00:00:00.000Z,40.8678082922,40.9631925254,40.6596972378,40.7290675893,4514671
2016-05-25T00:00:00.000Z,41.3707433401,41.6395534519,41.1019332283,41.6395534519,5624039
2016-05-26T00:00:00.000Z,40.9285073497,41.7782941548,40.9024934679,41.5008127491,3333631
2016-05-27T00:00:00.000Z,40.9111647618,41.0585767586,40.7550814711,40.7550814711,4312805
2016-05-31T00:00:00.000Z,40.7030537075,41.1019332283,40.638019003,41.1019332283,4451886
2016-06-01T00:00:00.000Z,40.7550814711,40.8331231164,40.2087899535,40.6250120621,4911813
2016-06-02T00:00:00.000Z,40.9805351133,41.006548995,40.5296278289,40.7117250014,3382047
2016-06-03T00:00:00.000Z,41.3273868705,41.4227711037,40.9024934679,41.1626322858,4974177
2016-06-06T00:00:00.000Z,41.752280273,41.7956367427,41.4401136915,41.509484043,6934737
2016-06-07T00:00:00.000Z,41.7696228609,41.9083635638,41.5875256884,41.7869654488,3640672
2016-06-08T00:00:00.000Z,42.0124190909,42.1424884999,41.8650070941,42.0384329727,3942223
2016-06-09T00:00:00.000Z,41.7089238034,41.809510813,41.5181553369,41.7956367427,3965573
2016-06-10T00:00:00.000Z,41.3967572219,41.6395534519,41.2927016947,41.4487849855,4808883
2016-06-13T00:00:00.000Z,40.9371786436,41.5614250936,40.9285073497,41.4140998098,5318868
2016-06-14T00:00:00.000Z,40.6336833561,40.9458499375,40.3605375973,40.8157805286,7562520
2016-06-15T00:00:00.000Z,40.8157805286,41.1019332283,40.7203962954,40.7897666468,4167893
2016-06-16T00:00:00.000Z,40.9545212315,40.9718638193,40.2868315989,40.64235465,5872664
2016-06-17T00:00:00.000Z,41.1325680426,41.2197133139,40.7752724304,40.8711322288,5927089
2016-06-20T00:00:00.000Z,41.3678602751,41.8820173756,41.3417166937,41.5247217633,5965972
2016-06-21T00:00:00.000Z,41.2545714224,41.4637200735,41.1020671977,41.4027183836,3063382
2016-06-22T00:00:00.000Z,41.298144058,41.4462910192,41.228427841,41.2894295309,3041740
2016-06-23T00:00:00.000Z,41.9343045383,41.9517335926,41.6554396703,41.707726833,3558230
2016-06-24T00:00:00.000Z,40.1042538415,41.0192791899,39.999679516,40.5051220894,12447507
2016-06-27T00:00:00.000Z,38.7535021368,39.7992453921,38.5356389586,39.7992453921,9059325
2016-06-28T00:00:00.000Z,39.0846541676,39.3199464,38.6750713926,39.0672251133,10360561
2016-06-29T00:00:00.000Z,39.7469582293,39.8776761362,39.4680933612,39.5639531596,6655461
2016-06-30T00:00:00.000Z,40.3831187096,40.4005477639,39.6423839038,39.860247082,5977783
2016-07-01T00:00:00.000Z,40.4005477639,40.6589334932,40.269829857,40.3831187096,4964119
2016-07-05T00:00:00.000Z,39.6685274852,40.3482606011,39.5290950511,40.1913991128,5570113
2016-07-06T00:00:00.000Z,39.8253889735,39.8776761362,39.2270495409,39.5290950511,5837925
2016-07-07T00:00:00.000Z,39.929963299,40.2524008027,39.6859565394,39.6859565394,4258624
2016-07-08T00:00:00.000Z,40.9234193915,41.0018501357,40.2088281671,40.2088281671,5241479
2016-07-11T00:00:00.000Z,41.1238535155,41.2371423681,40.9582775001,41.0628518256,4622254
2016-07-12T00:00:00.000Z,41.8733028485,42.0998805538,41.4114329107,41.4375764921,6754242
2016-07-13T00:00:00.000Z,41.9865917011,42.047593391,41.7339575597,41.9430190655,3930419
2016-07-14T00:00:00.000Z,42.3613163676,42.4396599665,42.1054578511,42.1521677165,4975527
2016-07-15T00:00:00.000Z,42.5094633288,42.6314667086,42.3961744761,42.5094633288,3631142
2016-07-18T00:00:00.000Z,42.7883281969,42.8319008325,42.2393129878,42.5094633288,2948075
2016-07-19T00:00:00.000Z,42.5356069102,42.7186119798,42.3613163676,42.5617504915,3514757
2016-07-20T00:00:00.000Z,42.5530359644,42.6663248171,42.2393129878,42.4310325846,4012225
2016-07-21T00:00:00.000Z,42.2916001506,42.5878940729,42.1347386623,42.5791795458,3625277
2016-07-22T00:00:00.000Z,42.4048890032,42.5007488016,42.2218839336,42.3351727862,3889387
2016-07-25T00:00:00.000Z,42.3351727862,42.3613163676,42.047593391,42.3613163676,4839166
2016-07-26T00:00:00.000Z,42.6576102899,42.6837538713,42.2916001506,42.3264582591,4172125
2016-07-27T00:00:00.000Z,42.7098974527,42.8580444139,42.3961744761,42.6924683985,4250932
2016-07-28T00:00:00.000Z,42.6488957628,42.7883281969,42.4005317397,42.6140376543,3665648
2016-07-29T00:00:00.000Z,42.4310325846,42.5617504915,42.1347386623,42.526892383,4272812
2016-08-01T00:00:00.000Z,42.1957403522,42.4397471118,42.0245870394,42.4397471118,3565837
2016-08-02T00:00:00.000Z,42.0824514995,42.285935708,41.8035866314,42.1608822437,6051599
2016-08-03T00:00:00.000Z,42.1870258251,42.3526018405,41.8820173756,42.1521677165,3475372
2016-08-04T00:00:00.000Z,42.3613163676,42.4746052203,42.0998805538,42.1870258251,3552513
2016-08-05T00:00:00.000Z,42.5007488016,42.5878940729,42.3482445769,42.4223180575,3156008
2016-08-08T00:00:00.000Z,42.5878940729,42.7098974527,42.4833197474,42.5443214373,4731765
2016-08-09T00:00:00.000Z,42.457176166,42.7534700884,42.3700308947,42.6053231272,3991880
2016-08-10T00:00:00.000Z,42.4658906931,42.6536887527,42.4048890032,42.5356069102,2255744
2016-08-11T00:00:00.000Z,42.6488957628,42.727326507,42.4223180575,42.6750393442,2695719
2016-08-12T00:00:00.000Z,42.1957403522,42.6924683985,42.1085950809,42.6488957628,3382188
2016-08-15T00:00:00.000Z,42.6227521814,42.727326507,42.317743732,42.3438873134,2317074
